cluster_id,pdbid
0,10gs
0,11gs
0,13gs
0,1lbk
0,2gss
0,2j9h
0,3dgq
0,3gss
0,3gus
0,3hjo
0,3ie3
0,5j41
0,5x79
1,16pk
1,1kf0
1,1vjc
1,1vjd
1,3c39
1,4o3f
1,5np8
2,1a0t
2,1af6
3,1a5v
4,1akq
4,1akr
4,1akt
4,1aku
4,1akv
4,1akw
4,1azl
4,1c7e
4,1c7f
5,1al7
5,1al8
6,1ao0
6,6czf
6,6ott
7,1aqc
7,1x11
8,1aqi
8,1aqj
8,2adm
9,1awi
10,1b2m
10,1det
10,1rgk
10,1rgl
10,1rnt
10,6rnt
11,1b55
11,1bwn
11,4y94
12,1b74
12,2jfz
12,2ohv
12,2vvt
12,2w4i
13,1bjr
14,1bkj
15,1b42
15,1bky
15,3mag
15,3mct
16,1bo5
16,5gn5
16,5gn6
17,1bq3
17,1bq4
18,1btn
19,1bxr
20,1a50
20,1c29
20,1c8v
20,1c9d
20,1cw2
20,1cx9
20,1tjp
20,2cle
20,2clf
20,2clh
20,2cli
20,2clk
20,2cll
20,2clm
20,2clo
20,5tci
20,5tcj
20,6am8
20,6ami
21,1a9q
21,1b8n
21,1b8o
21,1c3x
21,1g2o
21,1i80
21,1lv8
21,1lvu
21,1n3i
21,1pf7
21,1pwy
21,1rr6
21,1rt9
21,1v2h
21,1v41
21,1v48
21,1vfn
21,2oc4
21,2oc9
21,2on6
21,2p4s
21,2q7o
21,3bgs
21,3d1v
21,3djf
21,3e0q
21,3f8w
21,3fuc
21,3iny
21,3k8o
21,3k8q
21,4ear
21,4eb8
21,5etj
21,5ko5
22,1cet
22,4aj1
22,4aj2
22,4aj4
22,4aje
22,4aji
22,4ajk
22,4ajl
22,4ajn
22,4ajo
22,4al4
22,4i8x
22,4i9h
22,4i9u
22,4qsm
22,4qt0
22,5w8h
22,5w8i
22,5w8j
22,5zjf
23,1af2
23,1ctt
23,1ctu
24,1d1p
24,1dg9
24,5kqg
24,5kql
25,1d2e
25,1r5n
25,3u2q
25,4rd0
25,4rd3
25,4rd6
25,5izk
25,5izl
25,5izm
25,5mi3
25,5mi9
26,1d5r
27,1dfo
27,4oyt
27,4tmr
27,4tn4
27,5gvk
27,5gvl
27,5gvm
27,5gvn
27,5gvp
27,5v7i
27,5xmp
27,5xmr
27,5xms
27,5xmt
27,5xmu
27,5xmv
27,5yfz
27,5yg2
27,5yg3
27,5yg4
28,1dkd
29,1dpu
30,1dqn
31,1drv
32,1dub
32,2np9
32,4qij
32,6n92
32,6n93
32,6n94
32,6n95
32,6n96
32,6n97
33,1dzj
33,1dzk
33,1dzm
33,1dzp
33,1e00
33,1e02
33,1e06
33,1g85
33,1gt1
33,1gt3
33,1gt4
33,1gt5
33,1hn2
34,1e2k
34,1e2l
35,1e8h
36,1ec9
36,1ecq
37,1dqx
37,1eix
37,1jjk
37,1km3
37,1lol
37,1loq
37,1lor
37,1los
37,1x1z
37,2q8z
37,2qaf
37,2qcd
37,2qcf
37,2qcg
37,2qch
37,2qcm
37,2qcn
37,2za3
37,2zz1
37,2zz2
37,2zz6
37,3bar
37,3ewu
37,3ewz
37,3ex2
37,3ex3
37,3ex6
37,3g1d
37,3g1v
37,3g3d
37,3g3m
37,3gdt
37,3l0k
37,3l0n
37,3mi2
37,3s9y
37,3vi2
37,3w07
37,3wjw
37,4hkp
38,1ew8
38,1ew9
38,3dpc
39,1ewj
40,1exw
41,1cp6
41,1f2o
41,1f2p
41,1ft7
41,1igb
41,1qq9
41,1txr
41,3b3c
41,3b3s
41,3b3w
41,3b7i
41,3vh9
42,1f73
42,1f74
42,1f7b
42,1yxd
42,2wpb
42,4hnn
42,5f1u
42,5f1v
42,5j5d
43,1f9g
43,2brp
44,1a28
44,1a52
44,1db1
44,1e3g
44,1err
44,1fcx
44,1fcy
44,1fcz
44,1fd0
44,1fm9
44,1g50
44,1gwq
44,1gwr
44,1i37
44,1i7g
44,1i7i
44,1ie9
44,1ilh
44,1kkq
44,1m13
44,1n46
44,1n4h
44,1nax
44,1nde
44,1nhz
44,1nq0
44,1nq7
44,1nyx
44,1osv
44,1p93
44,1pcg
44,1pq6
44,1pqc
44,1q4x
44,1qkn
44,1qkt
44,1qku
44,1r6g
44,1rdt
44,1rjk
44,1s19
44,1sj0
44,1sqn
44,1sr7
44,1t79
44,1t7f
44,1t7r
44,1u3q
44,1u3r
44,1u3s
44,1u9e
44,1uom
44,1vjb
44,1x76
44,1x78
44,1x7b
44,1x7e
44,1x7r
44,1xap
44,1xb7
44,1xnx
44,1xow
44,1xp1
44,1xp6
44,1xp9
44,1xpc
44,1xqc
44,1xzx
44,1y0x
44,1yy4
44,1yye
44,1z95
44,1zaf
44,1zeo
44,1zky
44,1zuc
44,2a3i
44,2aa6
44,2am9
44,2ama
44,2ao6
44,2ath
44,2ax6
44,2ax9
44,2ayr
44,2b1v
44,2b1z
44,2bj4
44,2e2r
44,2ewp
44,2f4b
44,2fai
44,2g0g
44,2g0h
44,2giu
44,2gpp
44,2gtk
44,2hfp
44,2hvc
44,2i0g
44,2i0j
44,2i4j
44,2i4p
44,2i4z
44,2ihq
44,2iog
44,2iok
44,2j4a
44,2j7x
44,2jj3
44,2nv7
44,2nw4
44,2o4j
44,2o4r
44,2o9i
44,2oax
44,2oz7
44,2p15
44,2p4y
44,2p7a
44,2p7g
44,2p7z
44,2pix
44,2pjl
44,2pog
44,2q70
44,2q8s
44,2qa8
44,2qe4
44,2qh6
44,2qtu
44,2r6w
44,2r6y
44,2w8y
44,2yfe
44,2yhd
44,2ylo
44,2ylp
44,2ylq
44,2z4b
44,2zas
44,2zmj
44,3ads
44,3adt
44,3adu
44,3adv
44,3b0w
44,3b1m
44,3b5r
44,3b65
44,3b66
44,3b67
44,3b68
44,3bc5
44,3cs8
44,3dct
44,3dy6
44,3erd
44,3ert
44,3fal
44,3fei
44,3fej
44,3fur
44,3fxv
44,3g0w
44,3g8i
44,3g8o
44,3g9e
44,3gws
44,3gwx
44,3gz9
44,3h0a
44,3h52
44,3hq5
44,3ia6
44,3imy
44,3ipq
44,3ips
44,3ipu
44,3jzb
44,3jzc
44,3k22
44,3k23
44,3kba
44,3kdt
44,3kdu
44,3kfc
44,3l0e
44,3l3x
44,3l3z
44,3lmp
44,3nsq
44,3o1d
44,3o1e
44,3oap
44,3okh
44,3oki
44,3olf
44,3omm
44,3oof
44,3ook
44,3osi
44,3osw
44,3ozj
44,3pcu
44,3peq
44,3r2a
44,3r5m
44,3r5n
44,3r8i
44,3sz1
44,3t03
44,3tkm
44,3ty0
44,3u9q
44,3v3q
44,3v49
44,3vhu
44,3vhv
44,3vjs
44,3vjt
44,3vrt
44,3vru
44,3vrv
44,3vrw
44,3vtb
44,3vtc
44,3vtd
44,3w5t
44,3wff
44,3wfg
44,3wt5
44,3wt7
44,3zqt
44,4a4v
44,4a4w
44,4csj
44,4dk7
44,4dk8
44,4dma
44,4fgy
44,4fhh
44,4fhi
44,4hlw
44,4j24
44,4j26
44,4jaz
44,4jgv
44,4k4j
44,4k6i
44,4lnw
44,4lsj
44,4m8e
44,4m8h
44,4mg5
44,4mg6
44,4mg7
44,4mg8
44,4mg9
44,4mga
44,4mgb
44,4mgc
44,4mgd
44,4n5g
44,4n8r
44,4nb6
44,4nie
44,4oar
44,4oiv
44,4p6w
44,4p6x
44,4pf3
44,4poh
44,4poj
44,4pp3
44,4pp5
44,4prg
44,4pxm
44,4q0a
44,4ql8
44,4r06
44,4rak
44,4rme
44,4uda
44,4udb
44,4wlb
44,4wpf
44,4x1f
44,4xt9
44,4xta
44,4xuh
44,4xum
44,4y29
44,4ymq
44,4ynk
44,4zjr
44,4zjw
44,4zom
44,4zsh
44,5ak2
44,5aph
44,5apj
44,5avi
44,5awj
44,5b5b
44,5c4o
44,5c4s
44,5c4t
44,5c4u
44,5cj6
44,5dx3
44,5dxb
44,5dxe
44,5dxg
44,5ejv
44,5eth
44,5f9b
44,5fqp
44,5fqr
44,5fqs
44,5fqt
44,5fqv
44,5g42
44,5g43
44,5g45
44,5g46
44,5gic
44,5gid
44,5gs4
44,5gtr
44,5h1e
44,5hcv
44,5hyr
44,5i4v
44,5iaw
44,5ick
44,5jjm
44,5jy3
44,5k13
44,5kya
44,5kyj
44,5l7e
44,5l7g
44,5l7h
44,5lsg
44,5mkj
44,5mwp
44,5mwy
44,5ni5
44,5ni7
44,5ni8
44,5nib
44,5ntk
44,5ntp
44,5ntq
44,5ntw
44,5nu1
44,5q0i
44,5q0j
44,5q0l
44,5q0m
44,5q0n
44,5q0o
44,5q0p
44,5q0q
44,5q0r
44,5q0s
44,5q0t
44,5q0u
44,5q0v
44,5q0w
44,5q0x
44,5q0y
44,5q0z
44,5q10
44,5q11
44,5q12
44,5q13
44,5q14
44,5q15
44,5q16
44,5q17
44,5q18
44,5q19
44,5q1a
44,5q1b
44,5q1c
44,5q1d
44,5q1e
44,5q1f
44,5q1g
44,5q1h
44,5q1i
44,5t8e
44,5t8j
44,5t92
44,5t97
44,5tbp
44,5two
44,5u5l
44,5uc1
44,5ufo
44,5ufr
44,5ufs
44,5ugm
44,5uhi
44,5v8q
44,5vb5
44,5vb6
44,5vb7
44,5w4r
44,5w4v
44,5wgd
44,5wgq
44,5xmx
44,5xpl
44,5xpm
44,5xpn
44,5xpo
44,5xpp
44,5yp5
44,5yp6
44,5yso
44,5za1
44,5zqu
44,5zwe
44,5zwf
44,5zwh
44,5zwi
44,5zxi
44,6a6k
44,6an1
44,6avi
44,6b30
44,6b31
44,6b33
44,6br2
44,6br3
44,6c42
44,6c5q
44,6c5t
44,6cn5
44,6cn6
44,6dgl
44,6dgo
44,6dgq
44,6dgr
44,6dha
44,6e3g
44,6esn
44,6fgq
44,6fo7
44,6fo8
44,6fo9
44,6fob
44,6fod
44,6fzf
44,6fzg
44,6fzj
44,6fzp
44,6fzu
44,6g07
44,6gev
44,6gg8
44,6ggg
44,6i61
44,6i62
44,6i63
44,6i64
44,6i65
44,6i66
44,6i67
44,6iar
44,6ilq
44,6j1l
44,6jio
44,6jno
44,6md0
44,6md4
44,6nad
44,6nwk
44,6nwl
44,6o68
44,6pit
44,6q6m
44,6q6o
44,6q7a
44,6q7h
44,6r7j
44,6r7k
44,6s4n
44,6s4t
44,6s4u
44,6s5k
44,6sal
44,6sq0
44,6suo
45,1ff1
45,2kff
45,2kfg
45,2kfh
45,2ksp
46,1fh7
46,1fh8
46,1fh9
46,1fhd
46,1j01
46,1od8
46,1v0k
46,1v0l
46,1v0m
46,1v0n
46,3nyd
46,4bs0
47,1fhr
47,1j4k
48,1flm
49,1fo2
49,1fo3
49,1x9d
49,2ri9
49,4ayp
49,4ayq
49,4ayr
49,5meh
49,5ne5
50,1ft4
51,1fwe
52,1fwu
52,1fwv
53,1g1e
53,1s5q
54,1g98
54,1gzv
54,1koj
54,1u0g
55,1g9r
55,1ga8
56,1agm
56,1gah
56,1gai
57,1gni
57,1gnj
57,1h9z
57,1ha2
57,1hk1
57,1hk2
57,1hk3
57,1hk4
57,1hk5
57,2ydf
57,3a73
57,3cx9
57,4or0
57,4po0
57,5dqf
57,6ezq
57,6mdq
58,1gny
59,1gu1
59,1v1j
59,2c4v
59,2c4w
59,2c57
59,2wks
59,2xb9
59,2xd9
59,2xda
59,4b6r
59,4b6s
60,1gu3
61,1gui
62,1guw
62,1kna
62,1kne
62,1pdq
62,2kvm
62,2l11
62,2l12
62,2l1b
62,2rvn
62,3fdt
62,3g7l
62,3gv6
62,3h91
62,3i90
62,3i91
62,3q6s
62,3qo2
62,3r93
62,3tzd
62,4mn3
62,4u68
62,4x3k
62,4x3s
62,4x3t
62,4x3u
62,5ejw
62,5epk
62,5epl
62,5eq0
62,5t1i
62,6asz
62,6at0
62,6d07
62,6d08
63,1gwm
64,1gx8
64,2gj5
64,3nq3
64,3nq9
64,3ueu
64,3uev
64,3uew
64,3uex
64,4gny
64,4kii
64,6ge7
64,6gf9
64,6gfs
64,6ghh
64,6qi7
65,1gym
66,1gyx
66,1gyy
67,1gz3
67,1gz4
68,1h0a
69,1h2t
69,1h2u
70,1h60
70,1h61
70,1h62
70,1k03
71,1h6h
72,1h79
72,1h7a
73,1h8l
73,3mn8
74,1hp0
74,2ff1
74,2ff2
74,3b9g
74,4i71
74,4i72
74,4i73
74,4i74
75,1g9a
75,1g9b
75,1g9c
75,1g9d
75,1i1e
76,1i5r
76,3hb4
76,6mnc
77,1i32
77,1i33
77,1ihy
77,1k3t
78,1egh
78,1ik4
78,1s89
79,1ikt
80,1ilq
81,1imx
81,1pmx
82,1irs
83,1cr6
83,1ek1
83,1ek2
83,1g42
83,1g5f
83,1iup
83,1vj5
83,1zd2
83,1zd3
83,1zd4
83,1zd5
83,2psj
83,2wuf
83,2zjf
83,3ans
83,3ant
83,3i1y
83,3i28
83,3koo
83,3otq
83,3pdc
83,3wk4
83,3wk5
83,3wk6
83,3wk7
83,3wk8
83,3wk9
83,3wka
83,3wkb
