pdbid,ligand_cluster_id,protein_cluster_id,combined_cluster_id,partition
11gs,3628,0,378,train
16pk,3628,1,378,train
184l,3628,1414,378,train
186l,3628,1414,378,train
187l,3628,1414,378,train
188l,3628,1414,378,train
1a07,3628,1152,378,train
1a08,3628,1152,378,train
1a09,3628,1152,378,train
1a0t,3628,2,378,train
1a1b,3628,1152,378,train
1a1c,3628,1152,378,train
1a1e,3628,1152,378,train
1a37,3628,1283,378,train
1a3e,3628,188,378,train
1a46,3628,188,378,train
1a4g,3628,923,378,train
1a4q,3628,923,378,train
1a4r,3628,932,378,train
1a5g,3628,188,378,train
1a5v,4446,3,418,train
1a61,3628,188,378,train
1a69,3513,135,347,test
1a99,3628,153,378,train
1abf,3628,1653,378,train
1abt,3628,225,378,train
1acj,3532,281,353,test
1ad8,3628,188,378,train
1adl,3628,345,378,train
1af6,3628,2,378,train
1afk,3628,1060,378,train
1afl,3628,1060,378,train
1agm,3628,56,378,train
1aht,3628,188,378,train
1ahx,3628,251,378,train
1ai4,3628,913,378,train
1ai5,3628,913,378,train
1ai6,3628,913,378,train
1ai7,3628,913,378,train
1ajn,3628,913,378,train
1ajp,3628,913,378,train
1ajq,3628,913,378,train
1akq,1220,4,115,val
1akr,1220,4,115,val
1akt,1220,4,115,val
1akw,1220,4,115,val
1al8,5233,5,464,train
1amk,3390,192,319,val
1anf,3628,1269,378,train
1ao0,3628,6,378,train
1ao8,3480,920,338,test
1apb,3628,1653,378,train
1apv,3628,338,378,train
1apw,3628,338,378,train
1aqc,3628,7,378,train
1aqi,3628,8,378,train
1aqj,3628,8,378,train
1at5,3628,877,378,train
1at6,3628,877,378,train
1atl,3628,456,378,train
1atr,3628,908,378,train
1au0,3628,1094,378,train
1auj,3628,188,378,train
1avd,3367,262,315,test
1aw1,3390,192,319,val
1awi,3628,9,378,train
1ax0,3628,1074,378,train
1ax1,3628,1074,378,train
1ax2,3628,1074,378,train
1axz,3628,1074,378,train
1ayu,3628,1094,378,train
1ayv,3628,1094,378,train
1aze,3628,455,378,train
1azg,3628,603,378,train
1azl,1220,4,115,val
1azm,3628,1505,378,train
1b05,3628,1384,378,train
1b0h,3628,1384,378,train
1b1h,3628,1384,378,train
1b2h,3628,1384,378,train
1b2i,2854,619,254,train
1b2m,3628,10,378,train
1b32,3628,1384,378,train
1b38,3628,893,378,train
1b39,3628,893,378,train
1b3f,3628,1384,378,train
1b3g,3628,1384,378,train
1b3h,3628,1384,378,train
1b3l,3628,1384,378,train
1b40,3628,1384,378,train
1b42,3472,15,336,train
1b46,3628,1384,378,train
1b4h,3628,1384,378,train
1b4z,3628,1384,378,train
1b51,3628,1384,378,train
1b52,3628,1384,378,train
1b55,3628,11,378,train
1b56,3628,345,378,train
1b57,3390,1025,319,val
1b58,3628,1384,378,train
1b5g,3628,188,378,train
1b5h,3628,1384,378,train
1b5i,3628,1384,378,train
1b5j,3628,1384,378,train
1b6h,3628,1384,378,train
1b74,3628,12,378,train
1b7h,3628,1384,378,train
1b8n,3271,21,301,val
1b8o,3271,21,301,val
1b9j,3628,1384,378,train
1bap,3628,1653,378,train
1bbz,3628,455,378,train
1bcj,3628,172,378,train
1bhf,3628,1152,378,train
1bji,3628,923,378,train
1bjr,3628,13,378,train
1bju,3628,188,378,train
1bjv,3628,188,378,train
1bkj,1220,14,115,val
1bkm,3628,1152,378,train
1bl4,1858,151,160,test
1bm2,3628,1152,378,train
1bm7,3628,1322,378,train
1bma,3628,188,378,train
1bmb,3628,1152,378,train
1bo5,3628,16,378,train
1bp0,3628,550,378,train
1bq3,3628,17,378,train
1bt6,3628,605,378,train
1btn,3628,18,378,train
1bux,3628,178,378,train
1bwn,3628,11,378,train
1bxl,3628,1525,378,train
1bxq,3628,338,378,train
1bxr,3628,19,378,train
1bzc,3628,296,378,train
1bzj,3628,296,378,train
1c2t,3480,1106,338,test
1c3e,3480,1106,338,test
1c7f,1220,4,115,val
1c83,3628,296,378,train
1c84,3628,296,378,train
1c85,3628,296,378,train
1cbx,3628,617,378,train
1ceb,2854,619,254,train
1cka,3628,455,378,train
1ckb,3628,455,378,train
1clu,3628,932,378,train
1cnw,3628,1505,378,train
1cnx,3628,1505,378,train
1cny,3628,1505,378,train
1cps,3628,617,378,train
1cqp,191,171,26,val
1cr6,3628,83,378,train
1cs4,3628,535,378,train
1csh,3628,1417,378,train
1csi,3628,1417,378,train
1csr,3628,1417,378,train
1css,3628,1417,378,train
1ctt,3564,23,359,train
1ctu,3564,23,359,train
1czc,3628,251,378,train
1cze,3628,251,378,train
1czk,1220,255,115,val
1czl,1220,255,115,val
1czq,3628,185,378,train
1czr,1220,255,115,val
1d09,3596,1502,372,test
1d2e,3628,25,378,train
1d4t,3628,1152,378,train
1d4w,3628,1152,378,train
1d5r,3628,26,378,train
1dar,3628,510,378,train
1ddm,3628,708,378,train
1det,3628,10,378,train
1df8,3367,262,315,test
1dgm,3628,311,378,train
1dhi,3480,920,338,test
1dhj,3480,920,338,test
1dkd,3628,28,378,train
1dmb,3628,1269,378,train
1dmt,3628,555,378,train
1doj,3628,188,378,train
1dpu,3628,29,378,train
1dqn,3271,30,301,val
1dqx,3628,37,378,train
1drj,3628,898,378,train
1drk,3628,898,378,train
1drv,3628,31,378,train
1dth,3628,456,378,train
