pdbid,ligand_cluster_id,protein_cluster_id,combined_cluster_id
5m29,0,1264,0
5m2q,0,1264,0
5m34,0,1264,0
5m3b,0,1264,0
3p4w,1,663,1
4z90,1,663,1
2jst,2,337,2
4wri,6,1057,3
1ewj,9,39,4
1jif,9,85,4
1i6v,15,557,5
2hw2,15,308,5
4kmu,15,557,5
4kn4,15,557,5
4kn7,15,557,5
5hv1,15,1206,5
5uac,15,557,5
5uah,15,557,5
5ual,15,557,5
6beb,15,1430,5
6bec,15,1430,5
6bed,15,1430,5
6bee,15,1430,5
6bef,15,1430,5
6beh,15,1430,5
4psb,37,995,6
4q0k,37,995,6
1ork,57,141,7
2o7v,61,384,8
4pkb,62,990,9
4yas,65,1080,10
1fj4,72,598,11
2aq7,72,598,11
2aqb,72,598,11
2vb8,72,598,11
4c6u,72,598,11
4c6v,72,598,11
4c6x,72,598,11
4c6z,72,598,11
4c70,72,598,11
4c71,72,598,11
4c72,72,598,11
4c73,72,598,11
2iyf,83,320,12
3rul,95,704,13
2xlc,96,483,14
6i96,98,683,15
5el9,102,1155,16
5elw,102,1155,16
1yyr,108,409,17
1yys,108,409,17
2ael,108,409,17
2cfd,111,266,18
2cfg,111,266,18
6f7i,114,1499,19
6h4a,114,1499,19
1qca,126,160,20
5wep,139,122,21
5wew,139,122,21
6c3u,139,122,21
3vw0,148,755,22
4k43,158,1629,23
6et8,169,1483,24
6h96,169,1483,24
6hai,169,1483,24
6prc,188,1623,25
7prc,188,1623,25
1cqp,191,171,26
1xdd,191,171,26
1xdg,191,171,26
6kjd,191,111,26
6kjf,191,111,26
2yiu,207,501,27
1qy1,214,424,28
1qy2,214,424,28
2nnd,214,424,28
3wdc,216,1194,29
3wdd,216,1194,29
3wde,216,1194,29
5cs2,216,1132,29
6n9h,236,1592,30
6naf,236,1592,30
3k4q,244,612,31
4aro,244,787,31
1o5p,250,128,32
5kde,253,1238,33
5kdf,253,1238,33
6czi,264,1451,34
5zbz,271,1398,35
4ghi,288,1056,36
4gs9,288,1056,36
4jmx,295,907,37
6ar4,363,1426,38
5fnr,366,1528,39
5fns,366,1528,39
5fnt,366,1528,39
5fnu,366,1528,39
6qmd,366,1528,39
6qme,366,1528,39
6qmj,366,1528,39
6qmk,366,1528,39
1nf8,368,120,40
4myd,369,946,41
4u0g,384,1143,42
6cfd,384,1143,42
5lz4,405,1227,43
5lz5,405,1227,43
5lz7,405,1227,43
5lz8,405,1227,43
5lz9,405,1227,43
4az0,429,216,44
4az3,429,216,44
6hly,435,416,45
6hlz,435,416,45
6hm2,435,416,45
5cls,454,581,46
5d6e,454,581,46
5d6f,454,581,46
6gl3,459,1524,47
6d6t,476,1453,48
6d6u,476,1453,48
1nu1,493,181,49
2vr0,493,450,49
5yjy,493,1387,49
3nal,506,1081,50
3nam,506,1081,50
3nan,506,1081,50
6g3y,526,1513,51
2yc5,532,947,52
5mro,532,947,52
5mrp,532,947,52
6bkx,547,1433,53
6bl1,547,1433,53
6bl2,547,1433,53
4tmr,548,27,54
5gvk,548,27,54
5gvl,548,27,54
5gvm,548,27,54
5gvn,548,27,54
5gvp,548,27,54
5v7i,548,27,54
5xmp,548,27,54
5xmr,548,27,54
5xms,548,27,54
5xmt,548,27,54
5xmu,548,27,54
5xmv,548,27,54
5yfz,548,27,54
5yg2,548,27,54
5yg3,548,27,54
5yg4,548,27,54
4xaq,559,1129,55
4xar,559,1129,55
4xas,559,1129,55
6irt,560,1562,56
5kxi,563,1324,57
6cnj,563,1324,57
6cnk,563,1324,57
5ywg,607,182,58
6isd,607,182,58
4zud,609,1559,59
5n9r,617,1521,60
5vs6,617,1521,60
6f5h,617,1521,60
2pfy,665,396,61
6d8v,670,1454,62
1ui0,686,199,63
6ajr,686,199,63
6klk,687,1572,64
2eg8,688,274,65
1g6s,689,412,66
1we2,689,645,66
1x8r,689,412,66
1x8t,689,412,66
2aa9,689,412,66
2aay,689,412,66
2pq9,689,412,66
2pqb,689,412,66
2pqc,689,412,66
3muf,689,645,66
3v66,705,762,67
6hvh,711,1484,68
6ibx,711,1484,68
6iby,711,1484,68
6ibz,711,1484,68
6ic0,711,1484,68
6q7v,776,1626,69
6q7w,776,1626,69
5zyg,791,1557,70
5zyh,791,1557,70
5zyi,791,1557,70
5zyj,791,1557,70
5zyk,791,1557,70
5zyl,791,1557,70
5zym,791,1557,70
6iez,791,1557,70
6if0,791,1557,70
6j81,791,1557,70
5c42,813,630,71
5tw3,813,630,71
5vqq,813,630,71
5vqr,813,630,71
5vqs,813,630,71
5vqt,813,630,71
5vqu,813,630,71
5vqv,813,630,71
5vqw,813,630,71
5vqx,813,630,71
5vqy,813,630,71
5vqz,813,630,71
6dtw,813,630,71
6dtx,813,630,71
6oe3,813,630,71
5wf7,815,1255,72
5wfd,815,1255,72
5wg6,815,1255,72
4ci1,819,815,73
4ci2,819,815,73
4ci3,819,815,73
5v3o,819,815,73
6n0j,827,1585,74
6n0k,827,1585,74
4fxy,830,856,75
6ajh,831,1423,76
6g9b,833,1548,77
6g9i,833,1548,77
4xjs,866,397,78
4xjt,866,397,78
4wx4,870,988,79
4wx7,870,988,79
4pg3,875,513,80
4ycu,875,513,80
4ycv,875,513,80
4ycw,875,513,80
5hgq,875,513,80
5zh2,875,513,80
5zh3,875,513,80
5zh4,875,513,80
5zh5,875,513,80
2zbk,876,509,81
3cgy,876,542,81
5fv7,884,1173,82
1y4z,923,230,83
1uz4,929,207,84
2z97,932,508,85
3csl,932,546,85
1n8u,934,118,86
1n8v,934,118,86
1e00,935,33,87
1gt3,935,33,87
5eud,943,1000,88
5eue,943,1000,88
4rsc,957,1019,89
4rse,957,1019,89
5ul5,957,1019,89
5ulg,957,1019,89
5w3i,972,942,90
5w44,972,942,90
5w73,972,942,90
5w7u,972,942,90
5w92,972,942,90
5w9g,972,942,90
5wa6,972,942,90
5wa7,972,942,90
5wap,972,942,90
5wb3,972,942,90
5wdc,972,942,90
5wdw,972,942,90
5we9,972,942,90
5web,972,942,90
5wef,972,942,90
5wei,972,942,90
5wf3,972,942,90
5wfm,972,942,90
5wfw,972,942,90
5wfz,972,942,90
5wg9,972,942,90
4s2i,986,1581,91
4x69,986,1581,91
5fao,986,1581,91
5fap,986,1581,91
5gwa,986,1365,91
5ne3,986,1581,91
5x5g,986,1365,91
6b1f,986,1581,91
6b1h,986,1581,91
6b1j,986,1581,91
6b1w,986,1581,91
6b1x,986,1581,91
6b1y,986,1581,91
6d3g,986,1365,91
6mkq,986,1581,91
6qw7,986,1581,91
6qw8,986,1581,91
6qw9,986,1581,91
6qwa,986,1581,91
6qwb,986,1581,91
5c6o,988,1122,92
5c6p,988,1123,92
5ech,995,1149,93
5eci,995,1149,93
3s3m,1019,660,94
3s3n,1019,660,94
3s3o,1019,660,94
2xcg,1036,477,95
2fvc,1040,743,96
3br9,1040,743,96
3bsc,1040,743,96
3cde,1040,743,96
3co9,1040,743,96
3cvk,1040,743,96
3cwj,1040,743,96
3e51,1040,743,96
3gyn,1040,743,96
3hhk,1040,743,96
4ai5,1053,150,97
4aia,1053,150,97
4gee,1059,797,98
4gfn,1059,797,98
4ggl,1059,797,98
4hxw,1059,797,98
4hy1,1059,797,98
4hym,1059,797,98
6ncn,1063,1594,99
6nco,1063,1594,99
5c91,1078,1125,100
6gzy,1079,1530,101
5o0s,1103,1302,102
3zlk,1104,769,103
4arw,1104,769,103
4asj,1104,769,103
4asy,1104,769,103
4b3u,1104,769,103
4b4g,1104,769,103
4b4m,1104,769,103
4b5b,1104,769,103
3pz1,1121,539,104
3pz2,1121,539,104
3pz3,1121,539,104
3pz4,1121,539,104
4gtm,1121,539,104
4gto,1121,539,104
4gtp,1121,539,104
4gtq,1121,539,104
4gtr,1121,539,104
4gts,1121,539,104
4gtt,1121,539,104
4gtv,1121,539,104
2aj8,1137,254,105
2gbi,1137,254,105
2i3z,1137,254,105
2rgu,1137,254,105
3g0b,1137,254,105
3g0c,1137,254,105
3g0d,1137,254,105
5i7u,1137,254,105
5kby,1137,254,105
5t4b,1137,254,105
5t4e,1137,254,105
5t4f,1137,254,105
5t4h,1137,254,105
1wn6,1159,504,106
2z3h,1159,504,106
4pop,1162,697,107
